STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150309,0.01,0.0,54,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150310,0.46,0.0,53,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150311,0.01,0.0,59,6.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150312,0.00,0.0,47,8.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150313,0.00,0.0,43,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150314,0.81,0.0,51,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150315,0.00,0.0,44,11.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150316,0.00,0.0,52,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150317,0.02,0.0,57,9.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150318,0.00,0.0,39,9.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150319,0.00,0.0,43,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150320,0.40,4.5,38,7.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150321,0.00,0.0,47,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150322,0.00,0.0,43,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150323,0.00,0.0,38,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150324,0.00,0.0,45,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150325,0.05,0.0,49,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150326,0.32,0.0,62,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150327,0.27,0.0,46,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150328,0.00,0.0,40,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150329,0.00,0.0,46,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150330,0.00,0.0,54,7.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150331,0.17,0.0,47,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150401,0.00,0.0,51,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150402,0.00,0.0,67,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150403,0.04,0.0,64,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150404,0.01,0.0,60,10.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150405,0.00,0.0,61,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150406,0.00,0.0,63,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150407,0.15,0.0,62,6.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150408,0.00,0.0,45,11.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150409,0.00,0.0,43,8.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150410,0.17,0.0,56,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150411,0.00,0.0,57,8.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150412,0.00,0.0,66,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150413,0.00,0.0,68,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150414,0.01,0.0,65,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150415,0.00,0.0,72,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150416,0.00,0.0,64,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150417,0.08,0.0,71,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150418,0.00,0.0,80,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150419,0.00,0.0,64,8.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150420,1.37,0.0,57,7.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150421,0.20,0.0,65,6.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150422,0.05,0.0,69,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150423,0.00,0.0,52,9.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150424,0.00,0.0,52,8.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150425,0.00,0.0,62,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150426,0.00,0.0,64,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150427,0.00,0.0,62,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150428,0.00,0.0,71,7.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150429,0.00,0.0,78,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150430,0.00,0.0,67,8.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150501,0.00,0.0,63,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150502,0.00,0.0,74,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150503,0.00,0.0,80,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150504,0.00,0.0,85,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150505,0.00,0.0,85,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150506,0.00,0.0,73,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150507,0.00,0.0,80,2.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150508,0.00,0.0,82,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150509,0.00,0.0,70,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150510,0.00,0.0,83,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150511,0.00,0.0,84,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150512,0.00,0.0,86,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150513,0.00,0.0,70,7.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150514,0.00,0.0,73,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150515,0.00,0.0,75,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150516,0.30,0.0,75,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150517,0.02,0.0,83,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150518,0.00,0.0,75,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150519,0.00,0.0,80,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150520,0.00,0.0,67,6.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150521,0.00,0.0,62,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150522,0.00,0.0,74,6.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150523,0.00,0.0,70,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150524,0.00,0.0,81,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150525,0.00,0.0,85,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150526,0.00,0.0,88,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150527,0.08,0.0,85,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150528,0.00,0.0,85,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150529,0.00,0.0,85,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150530,0.00,0.0,85,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150531,1.46,0.0,87,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150601,0.72,0.0,58,10.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150602,0.37,0.0,55,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150603,0.00,0.0,70,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150604,0.00,0.0,65,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150605,0.13,0.0,70,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150606,0.19,0.0,76,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150607,0.00,0.0,74,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150608,0.06,0.0,79,6.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150609,0.01,0.0,83,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150610,0.00,0.0,82,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150611,0.00,0.0,89,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150612,0.00,0.0,88,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150613,0.00,0.0,86,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150614,0.36,0.0,88,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150615,0.57,0.0,83,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150616,0.27,0.0,79,2.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150617,0.00,0.0,82,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150618,0.00,0.0,71,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150619,0.00,0.0,87,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150620,0.00,0.0,75,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150621,0.64,0.0,88,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150622,0.00,0.0,87,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150623,0.02,0.0,90,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150624,0.00,0.0,84,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150625,0.00,0.0,83,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150626,0.00,0.0,81,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150627,1.12,0.0,71,7.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150628,0.29,0.0,73,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150629,0.00,0.0,76,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150630,0.04,0.0,82,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150701,0.39,0.0,82,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150702,0.00,0.0,80,1.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150703,0.00,0.0,82,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150704,0.00,0.0,75,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150705,0.00,0.0,83,1.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150706,0.00,0.0,83,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150707,0.12,0.0,88,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150708,0.00,0.0,88,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150709,0.30,0.0,79,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150710,0.00,0.0,84,4.7
